ID	Speech	action_code	action_only	num_lines_before	num_lines_after	anno_before	anno_after	num_lines_last_mvmt	max_repeated_word	count_uppercase_words	period	comma	semicolon	hyphen	total_words	question	apostrophe	exclamation	big_action_only	speaker_action_only	speaker_big_action_only	speaker_action_code	WRB 	WPSS	WP 	WDT 	VBZ 	VBP 	VBN 	VBG 	VBD 	VB 	UH 	TO 	SYM 	RP 	RBS 	RBR 	RB 	PRPSS	PRP 	POS 	PDT 	NNS 	NNPS 	NNP 	NN 	MD 	LS 	JJS 	JJR 	JJ 	IN 	FW 	EX 	DT 	CD 	CC 	speakerpostn	numcharsonstage	BERNARDO	CORNELIUS	FRANCISCO	GHOST	GUILDENSTERN	HAMLET	HORATIO	KINGCLAUDIUS	LAERTES	LORDPOLONIUS	LUCIANUS	MARCELLUS	OPHELIA	OSRIC	PRINCEFORTINBRAS	QUEENGERTRUDE	REYNALDO	ROSENCRANTZ	VOLTIMAND	Random1	Random2	Random3	Random4	Random5	Random6	Random7	Random8	Random9	Random10	fight_in_general	point	look	run_walk_jog	handle_object	sit_stand_lie_down_kneel	gestures	new_big_actions	neg_big_actions	sortbig	sortany	sortwalk	sortfight	sortpoint	sortlook	sorthandle	sortposture	sortgesture	sortbig_rand	sortany_rand	sortwalk_rand	sortfight_rand	sortpoint_rand	sortlook_rand	sorthandle_rand	sortposture_rand	sortgesture_rand	firstpos	secondpos	thirdpos	fourthpos	fifthpos	sixthpos	seventhpos	eighthpos	ninethpos	tenthpos	eleventhpos	twelfthpos	thirteenthpos	fourteenthpos	fifteenthpos	POS_sentence
11	Not a mouse stirring.	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0																						4225	948	1588	1588	921	4682	4130	4280	4126	567	0	0	0	0	0	0	0	0	-1	4225	4225	4225	4225	4225	4225	4225	4225	4225	4225	4225	4225	4225	4225	4225	4225	4225	4225	RB	DT	NN	.												RB DT NN .           
12	"Well, good night."	0	0	0	2	0	0	1	0	0	1	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0																						3972	2197	2257	3400	2397	4966	4300	535	2814	3734	0	0	0	0	0	0	0	0	-1	3972	3972	3972	3972	3972	3972	3972	3972	3972	3972	3972	3972	3972	3972	3972	3972	3972	3972	NNP	JJ	NN													NNP JJ NN            
13	"If you do meet Horatio and Marcellus,"	27	1	1	1	0	0	2	0	0	0	1	0	0	7	0	0	0	1	1	1	27	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1																						3731	2098	2357	1357	2838	299	352	3981	4750	498	0	0	0	0	0	0	0	1	1	3731	3731	3731	3731	3731	3731	3731	3731	3731	3731	3731	3731	3731	3731	3731	3731	3731	3731	IN	PRP	VBP	VB	NNP	CC	NNP									IN PRP VBP VB NNP CC NNP        
14	"The rivals of my watch, bid them make haste."	0	0	2	0	0	0	0	0	0	1	1	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	2	0	0	0	0	0	1	0	0	1	0	0																						3112	477	2269	4773	739	3301	2268	1922	1499	1035	0	0	0	0	0	0	0	0	-1	3112	3112	3112	3112	3112	3112	3112	3112	3112	3112	3112	3112	3112	3112	3112	3112	3112	3112	DT	NNS	IN	PRP$	NN	NN	PRP	VBP	VBG							DT NNS IN PRP$ NN NN PRP VBP VBG      
15	"I think I hear them. Stand, ho! Who''s there?"	9	0	0	0	0	1	1	0	1	1	1	0	0	9	1	1	1	1	0	1	9	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0																						464	3316	4818	4296	3748	573	3526	2079	2182	3797	0	0	0	0	1	0	0	1	1	-1	464	464	464	464	464	-1	464	464	858	464	464	464	464	464	73	464	464	PRP	VBP	PRP	VBP	PRP	VB	RB	JJ	.							PRP VBP PRP VBP PRP VB RB JJ .      
16	Friends to this ground.	17	1	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	1	1	1	17	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0																						3929	4061	3147	599	1564	1273	4554	1460	2314	141	0	0	0	1	0	0	0	0	-1	3929	3929	3929	3929	3929	3929	3929	3929	3929	3929	3929	3929	3929	3929	3929	3929	3929	3929	NNS	TO	DT	NN												NNS TO DT NN           
17	And liegemen to the Dane.	17	1	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	1	1	1	17	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1																						3316	690	1264	3810	1084	3325	2959	763	4556	2955	0	0	0	1	0	0	0	0	-1	3316	3316	3316	3316	3316	3316	3316	3316	3316	3316	3316	3316	3316	3316	3316	3316	3316	3316	CC	NNS	TO	DT	NNP											CC NNS TO DT NNP          
18	Give you good night.	27	1	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	1	1	1	27	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0																						273	3464	3343	1556	2002	4098	644	1078	620	2442	0	0	0	0	0	0	0	1	1	-1	-1	273	273	273	273	273	273	273	334	783	273	273	273	273	273	273	273	VB	PRP	JJ	NN												VB PRP JJ NN           
19	"O, farewell, honest soldier:"	27	1	0	1	0	0	0	0	0	0	2	0	0	4	0	0	0	1	1	1	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0																						4182	1874	3842	2131	3487	4645	3630	3879	1715	4131	0	0	0	0	0	0	0	1	1	4182	4182	4182	4182	4182	4182	4182	4182	4182	4182	4182	4182	4182	4182	4182	4182	4182	4182	NNS	RB	JJ	NNS												NNS RB JJ NNS           
20	Who hath relieved you?	0	0	1	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																						4210	4837	2693	3276	1714	1450	3046	2874	156	4136	0	0	0	0	0	0	0	0	-1	4210	4210	4210	4210	4210	4210	4210	4210	4210	4210	4210	4210	4210	4210	4210	4210	4210	4210	WP	VBZ	VBN	.												WP VBZ VBN .           
21	Bernardo has my place.	17	1	0	1	0	0	1	0	0	1	0	0	0	4	0	0	0	1	1	1	17	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0																						2885	2676	1951	2069	4092	4417	1191	3533	3444	2091	0	0	0	1	0	0	0	0	-1	2885	2885	2885	2885	2885	2885	2885	2885	2885	2885	2885	2885	2885	2885	2885	2885	2885	2885	NNP	VBZ	PRP$	NN												NNP VBZ PRP$ NN           
22	Give you good night.	0	0	1	0	0	1	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0																						172	2102	358	4781	3637	915	2163	1114	982	2175	0	0	0	0	0	0	0	0	-1	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	172	VB	PRP	JJ	NN												VB PRP JJ NN           
23	Holla! Bernardo!	17	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	2	1	1	1	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0																						1805	4169	4607	3765	4242	4027	713	1316	3112	2028	0	0	0	1	0	0	0	0	-1	1805	-1	-1	1805	1805	1805	1805	1805	1805	1805	296	412	1805	1805	1805	1805	1805	1805	NNP	NNP														NNP NNP             
24	"Say,"	17	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	1	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																						3099	2173	4155	727	1325	1427	2192	1316	2335	1351	0	0	0	1	0	0	0	0	-1	3099	3099	3099	3099	3099	3099	3099	3099	3099	3099	3099	3099	3099	3099	3099	3099	3099	3099	.															.              
25	"What, is Horatio there?"	0	0	1	0	0	0	0	0	0	0	1	0	0	4	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0																						4739	4825	707	3190	681	1040	4576	272	1350	931	0	0	0	0	0	0	0	0	-1	4739	4739	4739	4739	4739	4739	4739	4739	4739	4739	4739	4739	4739	4739	4739	4739	4739	4739	WP	VBZ	NNP	.												WP VBZ NNP .           
26	A piece of him.	17	1	0	0	0	0	1	0	0	1	0	0	0	4	0	0	0	1	1	1	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0																						770	3244	1846	3216	3901	2389	4025	1786	4452	3136	0	0	0	1	0	0	0	0	-1	770	-1	-1	770	770	770	770	770	770	770	673	484	770	770	770	770	770	770	DT	NN	IN	NN												DT NN IN NN           
27	"Welcome, Horatio: welcome, good Marcellus."	17	1	0	0	0	0	0	0	0	1	2	0	0	5	0	0	0	1	1	1	17	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0																						4935	678	1436	275	184	4663	2693	31	1316	2793	0	0	0	1	0	0	0	0	-1	4935	4935	4935	4935	4935	4935	4935	4935	4935	4935	4935	4935	4935	4935	4935	4935	4935	4935	UH	NNP	RB	JJ	.											UH NNP RB JJ .          
28	"What, has this thing appear''d again to-night?"	27	1	0	0	0	0	0	0	0	0	1	0	1	7	1	1	0	1	1	1	27	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0																						4557	4192	4463	2115	2584	3279	517	2146	1928	22	0	0	0	0	0	0	0	1	1	4557	4557	4557	4557	4557	4557	4557	4557	4557	4557	4557	4557	4557	4557	4557	4557	4557	4557	WP	VBZ	DT	NN	VBD	RB	.									WP VBZ DT NN VBD RB .        
29	I have seen nothing.	23	1	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	1	1	1	23	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0																						2237	2927	3514	574	716	2579	4058	2958	2612	1160	0	0	1	0	0	0	0	0	-1	2237	-1	2237	2237	2237	-1	2237	2237	2237	2237	1169	2237	2237	2237	274	2237	2237	2237	PRP	VBP	VBN	NN												PRP VBP VBN NN           
30	"Horatio says ''tis but our fantasy,"	14	1	0	6	0	0	0	0	0	0	1	0	0	6	0	1	0	1	1	1	14	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1																						3102	505	1318	1141	4195	2759	2827	1516	440	699	0	0	0	0	0	1	0	1	1	3102	3102	3102	3102	3102	3102	3102	3102	3102	3102	3102	3102	3102	3102	3102	3102	3102	3102	NNP	VBZ	.	CC	PRP$	NN										NNP VBZ . CC PRP$ NN         
31	And will not let belief take hold of him	0	0	1	5	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1																						1151	3707	4749	3984	2820	1824	3169	39	2270	1545	0	0	0	0	0	0	0	0	-1	1151	1151	1151	1151	1151	1151	1151	1151	1151	1151	1151	1151	1151	1151	1151	1151	1151	1151	CC	MD	RB	VB	NN	VB	VB	IN	PRP							CC MD RB VB NN VB VB IN PRP      
32	"Touching this dreaded sight, twice seen of us:"	0	0	2	4	0	0	1	0	0	0	1	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	1	0	0																						1861	4126	4576	4064	1411	3807	1723	1641	3245	880	0	0	0	0	0	0	0	0	-1	1861	1861	1861	1861	1861	1861	1861	1861	1861	1861	1861	1861	1861	1861	1861	1861	1861	1861	NN	DT	VBN	NN	RB	VBN	IN	NNS								NN DT VBN NN RB VBN IN NNS       
33	Therefore I have entreated him along	0	0	3	3	0	0	2	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1																						1409	4076	1808	2023	1839	4737	2715	768	4861	2211	0	0	0	0	0	0	0	0	-1	1409	1409	1409	1409	1409	1409	1409	1409	1409	1409	1409	1409	1409	1409	1409	1409	1409	1409	CC	PRP	VBP	VBN	PRP	IN										CC PRP VBP VBN PRP IN         
34	With us to watch the minutes of this night;	0	0	4	2	0	0	3	0	0	0	0	1	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	2	0	0	2	0	0																						3167	606	2047	2598	89	2012	1815	1201	2219	1810	0	0	0	0	0	0	0	0	-1	3167	3167	3167	3167	3167	3167	3167	3167	3167	3167	3167	3167	3167	3167	3167	3167	3167	3167	IN	PRP	TO	VB	DT	NNS	IN	DT	NN							IN PRP TO VB DT NNS IN DT NN      
35	"That if again this apparition come,"	0	0	5	1	0	0	4	0	0	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0																						237	813	2230	403	240	4168	1614	194	2074	2026	0	0	0	0	0	0	0	0	-1	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	IN	IN	RB	DT	NN	.										IN IN RB DT NN .         
36	He may approve our eyes and speak to it.	0	0	6	0	0	0	5	0	0	1	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1																						4800	3711	4194	1911	623	1993	4787	3453	329	4509	0	0	0	0	0	0	0	0	-1	4800	4800	4800	4800	4800	4800	4800	4800	4800	4800	4800	4800	4800	4800	4800	4800	4800	4800	PRP	MD	VB	PRP$	NNS	CC	VB	TO	MD							PRP MD VB PRP$ NNS CC VB TO MD      
37	"Tush, tush, ''twill not appear."	14	1	0	0	0	0	6	0	0	1	2	0	0	5	0	1	0	1	1	1	14	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0																						1903	1508	3898	50	2458	4724	164	3938	2288	1734	0	0	0	0	0	1	0	1	1	-1	-1	1903	1903	1903	1903	1903	-1	1903	750	362	1903	1903	1903	1903	1903	364	1903	NNP	NN	MD	RB	VBG											NNP NN MD RB VBG          
38	Sit down awhile;	17	1	0	3	0	0	0	0	0	0	0	1	0	3	0	0	0	1	1	1	17	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																						4697	958	3573	3373	4592	1878	1903	2361	1996	1238	0	0	0	1	0	0	0	0	-1	4697	4697	4697	4697	4697	4697	4697	4697	4697	4697	4697	4697	4697	4697	4697	4697	4697	4697	VB	RB	RB													VB RB RB            
39	"And let us once again assail your ears,"	0	0	1	2	0	0	0	0	0	0	1	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1																						4803	4298	1845	1356	3311	1055	4826	4549	528	2459	0	0	0	0	0	0	0	0	-1	4803	4803	4803	4803	4803	4803	4803	4803	4803	4803	4803	4803	4803	4803	4803	4803	4803	4803	CC	VB	PRP	RB	RB	VB	PRP$	NNS								CC VB PRP RB RB VB PRP$ NNS       
40	That are so fortified against our story	0	0	2	1	0	0	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0																						1868	819	3004	3947	3741	342	3466	2897	2744	4371	0	0	0	0	0	0	0	0	-1	1868	1868	1868	1868	1868	1868	1868	1868	1868	1868	1868	1868	1868	1868	1868	1868	1868	1868	DT	VBP	RB	VBN	IN	PRP$	NN									DT VBP RB VBN IN PRP$ NN        
41	What we have two nights seen.	0	0	3	0	0	0	2	0	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0																						4660	2431	3727	3192	2832	762	4293	597	2297	4525	0	0	0	0	0	0	0	0	-1	4660	4660	4660	4660	4660	4660	4660	4660	4660	4660	4660	4660	4660	4660	4660	4660	4660	4660	WP	PRP	VBP	CD	NNS	.										WP PRP VBP CD NNS .         
42	"Well, sit we down,"	13	1	0	1	0	0	3	0	0	0	2	0	0	4	0	0	0	1	1	1	13	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																						3490	3721	2026	4790	3578	935	1219	636	1142	1188	0	0	0	0	0	1	0	1	1	3490	3490	3490	3490	3490	3490	3490	3490	3490	3490	3490	3490	3490	3490	3490	3490	3490	3490	PRP	VBP	PRP	.												PRP VBP PRP .           
43	And let us hear Bernardo speak of this.	17	1	1	0	0	0	0	0	0	1	0	0	0	8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1																						2359	1080	232	1391	1138	1281	626	3973	2480	1021	0	0	0	0	0	0	0	0	-1	2359	2359	2359	2359	2359	2359	2359	2359	2359	2359	2359	2359	2359	2359	2359	2359	2359	2359	CC	VB	PRP	VB	NNP	VB	IN	PRP$								CC VB PRP VB NNP VB IN PRP$       
44	"Last night of all,"	23	1	0	4	0	0	0	0	0	0	1	0	0	4	0	0	0	1	1	1	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0																						1650	774	2479	2300	414	3836	3078	2812	42	768	0	0	1	0	0	0	0	0	-1	1650	-1	1650	1650	1650	-1	1650	1650	1650	1650	1482	1650	1650	1650	200	1650	1650	1650	JJ	NN	IN	NNS												JJ NN IN NNS           
45	When yond same star that''s westward from the pole	0	0	1	3	0	0	0	0	0	0	0	0	0	9	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	2	0	0	2	0	0																						4182	955	1546	2951	3797	1774	2968	2858	908	1019	0	0	0	0	0	0	0	0	-1	4182	4182	4182	4182	4182	4182	4182	4182	4182	4182	4182	4182	4182	4182	4182	4182	4182	4182	WRB	DT	JJ	NN	IN	RB	IN	DT	NN							WRB DT JJ NN IN RB IN DT NN      
46	Had made his course to illume that part of heaven	0	0	2	2	0	0	1	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	1	0	0																						4130	3860	2395	360	202	1166	567	638	3444	878	0	0	0	0	0	0	0	0	-1	4130	4130	4130	4130	4130	4130	4130	4130	4130	4130	4130	4130	4130	4130	4130	4130	4130	4130	VBD	VBD	PRP$	NN	TO	VB	DT	NN	IN	NN						VBD VBD PRP$ NN TO VB DT NN IN NN     
47	"Where now it burns, Marcellus and myself,"	0	0	3	1	0	0	2	0	0	0	2	0	0	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1																						3761	3355	181	4200	3303	4399	2343	869	4079	4269	0	0	0	0	0	0	0	0	-1	3761	3761	3761	3761	3761	3761	3761	3761	3761	3761	3761	3761	3761	3761	3761	3761	3761	3761	WRB	RB	PRP	","	NNP	CC	PRP$									"WRB RB PRP , NNP CC PRP$        "
