ID	Speech	action_code	action_only	num_lines_before	num_lines_after	anno_before	anno_after	num_lines_last_mvmt	max_repeated_word	count_uppercase_words	period	comma	semicolon	hyphen	total_words	question	apostrophe	exclamation	big_action_only	speaker_action_only	speaker_big_action_only	speaker_action_code	WRB 	WPSS	WP 	WDT 	VBZ 	VBP 	VBN 	VBG 	VBD 	VB 	UH 	TO 	SYM 	RP 	RBS 	RBR 	RB 	PRPSS	PRP 	POS 	PDT 	NNS 	NNPS 	NNP 	NN 	MD 	LS 	JJS 	JJR 	JJ 	IN 	FW 	EX 	DT 	CD 	CC 	speakerpostn	numcharsonstage	BERNARDO	CORNELIUS	FRANCISCO	GHOST	GUILDENSTERN	HAMLET	HORATIO	KINGCLAUDIUS	LAERTES	LORDPOLONIUS	LUCIANUS	MARCELLUS	OPHELIA	OSRIC	PRINCEFORTINBRAS	QUEENGERTRUDE	REYNALDO	ROSENCRANTZ	VOLTIMAND	Random1	Random2	Random3	Random4	Random5	Random6	Random7	Random8	Random9	Random10	fight_in_general	point	look	run_walk_jog	handle_object	sit_stand_lie_down_kneel	gestures	new_big_actions	neg_big_actions	sortbig	sortany	sortwalk	sortfight	sortpoint	sortlook	sorthandle	sortposture	sortgesture
1449	"Prompted to my revenge by heaven and hell,"	23	1	37	21	0	0	0	4	0	0	1	0	0	8	0	0	0	1	1	1	23	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	1																						12	4159	3303	3078	784	4650	1898	4013	1417	4101	0	0	1	0	0	0	0	0	-1	12	-1	12	12	12	-1	12	12	12
1412	Now I am alone.	13	1	0	58	1	0	0	2	1	1	0	0	0	4	0	0	0	1	1	1	13	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																						13	3010	4812	4543	184	4961	383	1142	2653	379	0	0	0	0	0	1	0	1	1	-1	-1	13	13	13	13	13	-1	13
3313	"Come, Hamlet, come, and take this hand from me."	23	1	0	0	0	1	5	2	0	1	3	0	0	9	0	0	0	1	1	1	23	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	1	0	1																						14	2195	2572	1448	4002	1851	4424	56	4434	4008	0	0	1	0	0	0	0	0	-1	14	-1	14	14	14	-1	14	14	14
1732	That they are not a pipe for fortune''s finger	0	0	11	17	0	0	1	0	0	0	0	0	0	9	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	2	0	0	0	0	0	2	0	0	1	0	0																						15	879	528	668	1129	264	4648	3098	4295	2525	0	0	0	0	0	0	0	0	-1	15	15	15	15	15	15	15	15	15
333	"By their oppress''d and fear-surprised eyes,"	17	1	7	9	0	0	1	0	0	0	1	0	1	6	0	1	0	1	1	1	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	1																						16	3040	4618	3684	4848	3292	4863	1346	1367	2610	0	0	0	1	0	0	0	0	-1	16	-1	-1	16	16	16	16	16	16
210	"No, nor the fruitful river in the eye,"	0	0	4	6	0	0	2	2	0	0	2	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	1	0	0	2	0	1																						17	4691	1367	1734	4934	1196	4846	1733	1301	1651	0	0	0	0	0	0	0	0	-1	17	17	17	17	17	17	17	17	17
968	"Well, we shall sift him."	23	1	0	0	0	1	1	2	0	1	1	0	0	5	0	0	0	1	1	1	23	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0																						18	2958	593	1713	4158	555	1681	2999	4414	1260	0	0	1	0	0	0	0	0	-1	18	-1	18	18	18	-1	18	18	18
1783	"Ay, my lord."	23	1	0	0	0	0	0	2	0	1	1	0	0	3	0	0	0	1	1	1	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0																						18	801	73	925	1997	1448	1815	2766	2192	3462	0	0	1	0	0	0	0	0	-1	18	-1	18	18	18	-1	18	18	18
2335	"It had been so with us, had we been there:"	0	0	1	3	0	0	0	2	0	0	1	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0																						19	1173	4437	3326	2982	3672	1858	3516	3756	3267	0	0	0	0	0	0	0	0	-1	19	19	19	19	19	19	19	19	19
610	Heaven will direct it.	27	1	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	1	1	1	27	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0																						20	1596	974	1876	3135	4882	1867	3885	2785	1490	0	0	0	0	0	0	0	1	1	-1	-1	20	20	20	20	20	20	20
906	move	0	0	9	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0																						21	1593	4201	2725	1625	1380	1870	2660	3430	4459	0	0	0	0	0	0	0	0	-1	21	21	21	21	21	21	21	21	21
1761	"My lord, you played once i'' the university, you say?"	0	0	0	0	1	0	0	2	0	0	2	0	0	10	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0																						22	3479	1847	4411	1416	4412	247	1606	1026	1294	0	0	0	0	0	0	0	0	-1	22	22	22	22	22	22	22	22	22
1845	When second husband kisses me in bed.	0	0	5	19	0	0	2	0	0	1	0	0	0	7	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0																						22	2587	1734	2988	4897	4806	4680	1913	3202	1673	0	0	0	0	0	0	0	0	-1	22	22	22	22	22	22	22	22	22
1054	"And he, repulsed--a short tale to make--"	0	0	15	5	0	0	14	2	0	0	1	0	4	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1																						27	1129	40	3694	3700	3100	4953	3609	350	2741	0	0	0	0	0	0	0	0	-1	27	27	27	27	27	27	27	27	27
2743	"Whose worth, if praises may go back again,"	0	0	2	2	0	0	1	2	0	0	2	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	1	0	0																						28	2997	391	1735	3986	3648	3079	657	3996	4068	0	0	0	0	0	0	0	0	-1	28	28	28	28	28	28	28	28	28
3253	spirit. Put your bonnet to his right use; ''tis for the head.	0	0	1	0	0	0	0	0	0	2	0	1	0	12	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	5	0	0	0	0	1	1	0	0	1	0	0																						28	2881	1212	1102	4228	4346	4962	3409	2979	3576	0	0	0	0	0	0	0	0	-1	28	28	28	28	28	28	28	28	28
1158	"A goodly one; in which there are many confines,"	17	1	0	1	0	0	0	2	0	0	1	1	0	9	0	0	0	1	1	1	17	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	1	0	1	1	0	0																						30	2872	4359	3522	210	3957	4259	4360	765	1841	0	0	0	1	0	0	0	0	-1	30	-1	-1	30	30	30	30	30	30
536	What hour now?	23	1	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	1	1	1	23	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0																						32	192	567	2297	3041	4687	1598	4095	634	570	0	0	1	0	0	0	0	0	-1	32	-1	32	32	32	-1	32	32	32
1794	"Marry, this is miching mallecho; it means mischief."	27	1	0	0	0	0	0	2	0	1	1	1	0	8	0	0	0	1	1	1	27	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0																						33	1305	4614	584	1127	3330	4067	551	3374	4066	0	0	0	0	0	0	0	1	1	-1	-1	33	33	33	33	33	33	33
644	"Haste me to know''t, that I, with wings as swift"	17	1	0	2	0	0	1	0	1	0	2	0	0	10	0	1	0	1	1	1	17	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	1	2	0	0	1	0	0																						34	1917	2609	1779	2398	2076	1119	3947	4589	1016	0	0	0	1	0	0	0	0	-1	34	-1	-1	34	34	34	34	34	34
3062	hold the laying in--he will last you some eight year	0	0	4	1	0	0	1	0	0	0	0	0	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	1	0																						35	57	1825	4485	3716	1431	628	4075	2178	4708	0	0	0	0	0	0	0	0	-1	35	35	35	35	35	35	35	35	35
2912	But is this law?	23	1	28	50	0	0	6	2	0	0	0	0	0	4	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1																						36	3958	1420	4527	4413	1078	3096	4101	3420	1867	0	0	0	0	0	0	0	0	-1	36	36	36	36	36	36	36	36	36
1366	"Run barefoot up and down, threatening the flames"	0	0	2	14	0	0	1	2	0	0	1	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1																						40	4139	2175	606	3251	820	4583	2261	2810	2879	0	0	0	0	0	0	0	0	-1	40	40	40	40	40	40	40	40	40
1974	"you:--why do you go about to recover the wind of me,"	13	1	1	1	0	0	0	0	0	0	1	0	2	11	0	0	0	1	1	1	13	1	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0																						45	769	4392	355	1994	79	2658	348	4520	4364	0	0	0	0	0	1	0	1	1	-1	-1	45	45	45	45	45	-1	45
2185	"An eye like Mars, to threaten and command;"	0	0	4	21	0	0	1	0	0	0	1	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	1																						45	2056	3795	4062	2988	4336	1349	1290	4232	4367	0	0	0	0	0	0	0	0	-1	45	45	45	45	45	45	45	45	45
2382	with us to the king.	0	0	1	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0																						45	1905	1075	739	1076	1000	3395	2680	788	3451	0	0	0	0	0	0	0	0	-1	45	45	45	45	45	45	45	45	45
695	"Ay, thou poor GHOST, while memory holds a seat"	0	0	4	13	0	0	0	0	1	0	2	0	0	9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	2	0	0	1	0	0																						47	1942	1618	1279	166	3715	3546	379	4440	4517	0	0	0	0	0	0	0	0	-1	47	47	47	47	47	47	47	47	47
1348	And never did the Cyclops'' hammers fall	0	0	24	8	0	0	20	2	0	0	0	0	0	7	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1																						47	4519	963	2488	2241	3866	4161	3123	1995	1402	0	0	0	0	0	0	0	0	-1	47	47	47	47	47	47	47	47	47
2977	Tis e''en so: the hand of little employment hath	27	1	0	2	0	0	0	2	0	0	0	0	0	9	0	1	0	1	1	1	27	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	1	1	0	0	1	0	0																						48	3619	4681	540	1190	2416	4160	4864	4246	552	0	0	0	0	0	0	0	1	1	-1	-1	48	48	48	48	48	48	48
2702	This nothing''s more than matter.	17	1	0	0	0	0	0	2	0	1	0	0	0	5	0	1	0	1	1	1	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0																						50	3920	3068	170	2416	2294	1547	1667	943	3709	0	0	0	1	0	0	0	0	-1	50	-1	-1	50	50	50	50	50	50
2030	And he to England shall along with you:	17	1	3	3	0	0	2	0	0	0	0	0	0	8	0	0	0	1	1	1	17	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1																						51	2955	3114	883	2824	4041	1586	2366	2291	290	0	0	0	1	0	0	0	0	-1	51	-1	-1	51	51	51	51	51	51
3325	To my revenge: but in my terms of honour	0	0	2	6	0	0	1	2	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	1																						53	1620	1070	4486	2224	1928	172	1219	1366	329	0	0	0	0	0	0	0	0	-1	53	53	53	53	53	53	53	53	53
758	"We have sworn, my lord, already."	14	1	0	0	0	0	0	0	0	1	2	0	0	6	0	0	0	1	1	1	14	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0																						54	2966	2047	781	4537	2790	3374	1476	2805	3127	0	0	0	0	0	1	0	1	1	-1	-1	54	54	54	54	54	-1	54
1505	Affront Ophelia:	0	0	3	6	0	0	2	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0																						54	3612	226	2242	3959	2335	1356	2963	3898	709	0	0	0	0	0	0	0	0	-1	54	54	54	54	54	54	54	54	54
1640	"Will be some danger: which for to prevent,"	17	1	5	8	0	0	2	1	0	0	1	0	0	8	0	0	0	1	1	1	17	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0																						55	4297	1244	2164	1644	710	3643	3676	1321	2536	0	0	0	1	0	0	0	0	-1	55	-1	-1	55	55	55	55	55	55
2761	your kingdom. To-morrow shall I beg leave to see	0	0	1	5	0	0	1	2	1	1	0	0	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0																						57	5	926	2981	3096	3569	527	3877	1464	2682	0	0	0	0	0	0	0	0	-1	57	57	57	57	57	57	57	57	57
3418	"Exchange forgiveness with me, noble Hamlet:"	0	0	0	2	0	0	1	2	0	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	2	1	0	0	0	0	0																						58	2047	3510	221	47	1821	4853	476	959	4844	0	0	0	0	0	0	0	0	-1	58	58	58	58	58	58	58	58	58
2384	the body. The king is a thing--	0	0	1	0	0	0	0	2	0	1	0	0	2	7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	3	0	0																						59	1976	1888	1294	224	2341	4851	611	941	3737	0	0	0	0	0	0	0	0	-1	59	59	59	59	59	59	59	59	59
3189	To outface me with leaping in her grave?	0	0	4	6	0	0	3	0	0	0	0	0	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0																						59	2007	25	1979	3784	3544	1565	4799	4253	973	0	0	0	0	0	0	0	0	-1	59	59	59	59	59	59	59	59	59
1958	admiration? Impart.	17	1	2	0	0	0	1	0	0	1	0	0	0	2	1	0	0	1	1	1	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0																						60	2819	4003	1779	940	2954	4173	609	1044	2406	0	0	0	1	0	0	0	0	-1	60	-1	-1	60	60	60	60	60	60
732	"Why, right; you are i'' the right;"	12	1	0	6	0	0	1	1	0	0	1	2	0	7	0	1	0	1	1	1	12	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0																						61	193	1559	4272	4047	3325	637	2646	2376	236	0	0	0	1	0	0	0	1	1	-1	-1	-1	61	61	61	61	61	61
2634	"I pray you, give me leave."	17	1	0	2	0	0	0	0	0	1	1	0	0	6	0	0	0	1	1	1	17	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																						65	881	1827	603	3657	4657	4787	86	900	264	0	0	0	1	0	0	0	0	-1	65	-1	-1	65	65	65	65	65	65
3232	To let this canker of our nature come	0	0	6	1	0	0	5	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0																						68	4822	1618	3217	1624	1807	3675	4137	936	954	0	0	0	0	0	0	0	0	-1	68	68	68	68	68	68	68	68	68
1751	"If he steal aught the whilst this play is playing,"	0	0	1	1	0	0	0	0	0	0	1	0	0	10	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	2	0	0																						69	3097	4553	2888	2169	3114	1124	38	18	4329	0	0	0	0	0	0	0	0	-1	69	69	69	69	69	69	69	69	69
1497	With all my heart; and it doth much content me	23	1	0	3	0	0	2	4	0	0	0	1	0	10	0	0	0	1	1	1	23	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1																						74	3858	1282	4563	345	2468	1037	4009	2152	4877	0	0	1	0	0	0	0	0	-1	74	-1	74	74	74	-1	74	74	74
2414	A man may fish with the worm that hath eat of a	23	1	0	1	0	0	0	0	0	0	0	0	0	12	0	0	0	1	1	1	23	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	1	0	0	0	0	3	0	0	3	0	0																						75	116	4442	1915	2825	613	4402	1827	2809	2552	0	0	1	0	0	0	0	0	-1	75	-1	75	75	75	-1	75	75	75
971	Most fair return of greetings and desires.	17	1	0	9	0	0	0	2	0	1	0	0	0	7	0	0	0	1	1	1	17	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	1	0	0	0	0	1																						81	1905	3052	1454	60	1148	1891	1620	1553	1411	0	0	0	1	0	0	0	0	-1	81	-1	-1	81	81	81	81	81	81
1165	narrow for your mind.	0	0	1	0	0	0	0	2	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0																						82	4471	4870	2144	1302	4526	2027	2562	4610	4535	0	0	0	0	0	0	0	0	-1	82	82	82	82	82	82	82	82	82
456	Nor any unproportioned thought his act.	0	0	5	21	0	0	0	0	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1																						83	814	4367	2681	4039	1410	2572	1666	779	1275	0	0	0	0	0	0	0	0	-1	83	83	83	83	83	83	83	83	83
3453	Why does the drum come hither?	0	0	2	0	0	2	1	2	0	0	0	0	0	6	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0																						83	2154	1954	4181	109	3803	2328	4265	2564	1135	0	0	0	0	0	0	0	0	-1	83	83	83	83	83	83	83	83	83
2087	Try what repentance can: what can it not?	0	0	29	7	0	0	0	1	0	0	0	0	0	8	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0																						88	3103	4513	1935	1829	3196	2540	77	2949	4986	0	0	0	0	0	0	0	0	-1	88	88	88	88	88	88	88	88	88
3071	Whose was it?	23	1	0	2	0	0	4	2	0	0	0	0	0	3	1	0	0	1	1	1	23	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0																						89	665	4715	2122	633	2796	870	4251	4739	810	0	0	1	0	0	0	0	0	-1	89	-1	89	89	89	-1	89	89	89
2128	"Fear me not: withdraw, I hear him coming."	0	0	1	0	0	2	0	0	1	1	1	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0																						91	1349	1936	2152	4029	2827	2653	1130	4271	4072	0	0	0	0	0	0	0	0	-1	91	91	91	91	91	91	91	91	91
2221	"A cutpurse of the empire and the rule,"	0	0	3	2	0	0	2	2	0	0	1	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	3	0	1																						91	3912	2142	32	3087	3509	2695	4561	3689	2135	0	0	0	0	0	0	0	0	-1	91	91	91	91	91	91	91	91	91
